gx,gy,gz,wx,wy,wz
-0.355252,0.934222,-0.031708,-0.005859,-0.025391,-0.492188
-0.364182,0.930702,-0.031593,0.000000,0.007812,-0.476562
-0.364182,0.930702,-0.031593,0.000000,0.007812,-0.476562
-0.368774,0.928973,-0.031624,-0.005859,0.011719,-0.474609
-0.373025,0.927248,-0.031684,-0.007812,0.021484,-0.474609
-0.377265,0.925600,-0.031755,-0.009766,0.027344,-0.472656
-0.381707,0.923708,-0.031633,-0.011719,0.023438,-0.470703
-0.385946,0.921953,-0.031729,-0.005859,0.023438,-0.466797
-0.390256,0.920148,-0.031822,-0.003906,0.015625,-0.468750
-0.398659,0.916532,-0.031752,-0.001953,-0.009766,-0.464844
-0.398659,0.916532,-0.031752,-0.001953,-0.009766,-0.464844
-0.403064,0.914609,-0.031545,-0.007812,-0.019531,-0.462891
